aquaCultureRegistryVersion,localityNo,municipality,municipalityNo,name
1299,32598,HAMMERFEST,5603,Kokelv
1299,13764,LURØY,1834,Kokvika
69,12487,GJØVIK,0502,Kolkinn
1299,38677,BINDAL,1811,Kollsvika
1299,11575,FITJAR,4615,Koløy N
1299,11201,VESTVÅGØY,1860,Kolvikodden Ø
1299,29557,HAMMERFEST,5603,Komagnes
1299,45100,BJØRNAFJORDEN,4624,Komfarholmen
48,10365,SØNDRE LAND,0536,Kompelia
59,13694,SVEIO,1216,Kongevikneset S
89,17755,ALTA,2012,Kongshus
1299,10265,HØYLANDET,5046,Kongsmoelva
118,12149,BALESTRAND,1418,Kongsnes
53,12225,VANYLVEN,1511,Koparnes
450,12841,RAUMA,1539,Kormeset
1299,12855,AVERØY,1554,Kornstad
694,14296,ARENDAL,4203,Korsen
1299,39837,SØR-VARANGER,5605,Korsfjorden
130,12529,HVALER,0111,Korshavn
1299,19195,HITRA,5056,Korsholman
1299,20316,HADSEL,1866,Korsnes
1299,36797,KARLSØY,5534,Korsnes
1299,10224,HEIM,5055,Korsneset
46,15815,HAREID,1517,Korsneset
1299,22675,SANDE I MØRE OG ROMSDAL,1514,Korsneset
1230,32097,HEIM,5055,Korsneset 2
96,19999,STORD,1221,Korsvika
1299,45002,LURØY,1834,Korsvika
1299,37617,BODØ,1804,Korten
51,29556,ALTA,2012,Kovholmen
259,20915,KVINNHERAD,1224,Krabbaneset
1299,11809,KINN,4602,Krabbestig
1299,30297,ÅFJORD,5058,Krabbholmen
1299,33177,ÅFJORD,5058,Krabbholmen II
456,13803,TROMSØ,1902,Kræmarvika
332,10585,KRISTIANSAND,1001,Kragevika
928,12476,SMØLA,1573,Kråka Nø
