is_slaughter_boat,is_wellboat,mmsi,ship_register_vessel_type,ship_register_vessel_type_name_en,ship_register_vessel_type_name_no,ship_type,vessel_name
false,false,257435500,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BENJACO
false,false,257440600,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,90,BERG
false,false,258518310,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BERG VIKING
false,false,258018390,1B,OIL TANKER,TANKSKIP: OLJE,84,BERGEN ENERGY
false,false,259473000,7F2,RESCUE VESSEL,REDNINGSFARTØY,51,BERGEN KREDS
false,false,982594730,,,,51,BERGEN KREDS MOB
false,false,257706000,1B,OIL TANKER,TANKSKIP: OLJE,80,BERGEN TANK
false,false,258271000,5C1,CAR FERRY,BILFERGE,60,BERGENSFJORD
false,false,257165800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,51,BERGESEN DY
false,false,257649700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BERGNEBB
false,false,257605600,,,,70,BERGSOY
false,false,265738430,,,,79,BERGSUND
false,false,257019320,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,30,BERGYLTA
false,false,258166500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BERIT
false,false,258029600,,,,70,BERTHA
false,false,257446600,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,99,BESTEFAR
false,false,219829000,,,,52,BESTLA
false,false,257889800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BETA BLUE
false,false,257005350,,,,79,BINDALINGEN
false,false,257927700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,38,BINTANG
false,false,259001980,,,,80,BIO NAVIGATOR
false,false,257629000,4B,GENERAL DRY CARGO SHIP,STYKKGODSSKIP: VANLIG STYKKGODS,70,BIOSTAR
false,false,259260000,4B,GENERAL DRY CARGO SHIP,STYKKGODSSKIP: VANLIG STYKKGODS,70,BIOTRANS
false,false,259102000,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BIRGERSON
false,false,258308000,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BIRKELAND
false,true,257060180,6XG,FISHING VESSEL / SEALER: WELL BOAT,FISKE/FANGSTFARTØY: BRØNNFARTØY,99,BISPEN
false,false,257059250,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,99,BISPØY
false,false,257006070,,,,60,BJ R YA EXPLORER
false,false,258150500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,51,BJARNE KYRKJEBØ
false,false,257847000,7A1,TUG,SLEPEBÅT,75,BJØNN
false,false,257039660,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BJORDAL
false,true,257652000,3H,WELL BOAT,BRØNNFARTØY,70,BJØRG PAULINE
false,false,257032190,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,BJØRG VIKING
false,false,258030940,,,,70,BJORN M
false,false,258196500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BJØRN TOMMY
false,false,257741800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BJØRNEN
false,false,257000560,8K1,DRY FODDER BOAT,FORINGSBÅT,70,BJØRNERØY
false,false,258526000,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BJØRNHAUG
false,false,257112220,,,,40,BJORNOR
false,false,257595700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BJØRNSFJELL
false,false,257005840,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BJØRNSTEIN
false,false,257858700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BJØRNTIND
false,false,257939500,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BJØRNTIND
false,false,258990380,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,40,BJØRØYA SUPERIOR
false,false,258216500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,30,BJØRØYFISK
false,false,257063250,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,56,BJØRØYVÆR
false,false,259416000,4B,GENERAL DRY CARGO SHIP,STYKKGODSSKIP: VANLIG STYKKGODS,70,BJUGNFJORD
false,false,257391000,4B,GENERAL DRY CARGO SHIP,STYKKGODSSKIP: VANLIG STYKKGODS,70,BJUGNHOLM
false,false,257128170,,,,60,BLAAFJELL
false,false,258022780,,,,70,BLAAFJELL
false,false,258011180,,,,40,BLACK ARROW
false,false,257983700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,99,BLAKKANES
false,false,257047270,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,37,BLÅLANGE
false,false,257017810,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BLÅMANN
false,false,257503700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,BLÅSTÅL
false,false,257841800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,BLÅSVÆR
false,false,257127280,,,,40,BLATIND
false,false,257704800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,90,BLÅTIND
